,title,price_VND,location,area_m2,number_of_bedrooms
531,Thiếu nợ Bán gấp căn Q7 RVS  54m² 2PN giá 1.78 tỷ,1780000000,7,54.0,2
532,Cần Bán gấp,2400000000,Bình Tân,97.0,2
533,Bán gấp căn Duplex 127m2- 3PN-3WC chung cư Emerald,4350000000,Tân Phú,127.0,3
534,Bán Chung cư Vinhomes Central Park 80m² 2PN 4.5 TỶ,4500000000,Bình Thạnh,80.0,2
535,"CĂN HỘ MINI QUẬN 3 GIÁ RẺ, TẶNG GÓI FULL NỘI THẤT",1100000000,2,39.0,1
536,"Căn Hộ Xinh 80m2, Ngay TT, View Bitexco, 3,4 tỷ",3400000000,4,80.88,2
537,Chung cư Quận Tân Phú 72m² 2PN,2330000000,Tân Phú,72.0,2
538,3Pn Brilliant Với 2 View Công Viên Lớn và Hồ Bơi,7920000000,Tân Phú,135.0,3
539,Kẹt tiền bán căn 2pn Q7 Đào Trí 68m2 giá 2.15Ty,2090000000,7,68.0,2
540,Chung cư Richstar T.Phú 65m2 2PN giá cực tốt 2.6ty,2600000000,Tân Phú,652.0,2
541,"Căn hộ dịch vụ, mini Quận 9 - Thành phố Thủ Đức",29000000,9,55.0,2
542,CĂN HỘ PICITY HIGH PARK QUẬN 12,40000000,12,48.0,2
543,CĂN HỘ ĐẲNG CẤP - TRẢI NGHIỆM SỐNG XỨNG TẦM,1900000000,12,50.0,2
544,Căn hộ 2PN Full NT 71m2 Emerald Celadon Tân Phú,3400000000,Tân Phú,71.0,2
545,Chung cư Dreamhome Palace Quận 8 61.75m2 2PN,1720000000,8,61.75,2
546,"Chung cư Phú Đạt, Bình Thạnh - 69m² - 2PN",3500000000,Bình Thạnh,69.0,2
547,Tôi bán cc Petroland Quận 2 82m² 2PN Giá 2.25 tỷ,2250000000,2,82.0,2
548,Căn hộ 2pn belleza phú mỹ quạn 7| sổ hồng riêng,2500000000,7,80.0,2
549,Bán 3 căn 67m2 giá 2.4-2470 tỷ view ĐB-Đông Nam,2350000000,Thủ Đức,67.0,2
550,9VIEW FULLL NỘI THẤT 2PN-2WC NHƯ CHỈ 1.4TI BAO VAY,1400000000,9,58.0,2
551,Chung cư Eco Green Sài Gòn 95m² 3PN,4700000000,7,95.0,3
552,"3Pn Diamond Centery Giá Đầu Tư, Vị Trí Đẹp",7823000000,Tân Phú,121.0,2
553,Chung cư Conic Riverside 50m² 2PN,1990000000,8,50.0,2
554,Chung cư Ricca Quận 9 - Thành phố Thủ Đức 56m² 1PN,1800000000,9,56.0,1
555,Chung cư căn hộ giá rẻ Quận 7 69m² 2PN,3200000000,7,69.0,2
556,Kẹt tiền bán gấp căn hộ Lavida+ Quận 7 2.9tỷ/75m2,2900000000,7,75.0,2
557,Cần sang nhượng căn hộ 1PN Lavita Charm Đông Nam,2200000000,Thủ Đức,52.0,1
558,"CHÍNH CHỦ CẦN BÁN CĂN HỘ 2PN+1PN  GIÁ 2,850 TỶ",2850000000,9,70.0,3
559,"Bán Gấp Chung cư Richmond city,66m2 giá 3.450tỉ",3450000000,Bình Thạnh,66.0,2
560,CĂN HỘ WESTGATE 2PN GIÁ TỐT - ĐẦY ĐỦ PHÁP LÝ,2000000000,Bình Chánh,59.0,2
561,Căn hộ 3PN tại Daimond Lotus quận 8,4300000000,8,93.0,3
562,"Căn hộ Happy One Quận 12, DT 68m² 2PN",40000000,12,68.0,2
563,Căn hộ 2PN - CC Sunrise khu South 106 m2,5000000000,7,106.0,2
564,Penthouse Quận Thủ Đức 145m² 3 PN,5600000000,Thủ Đức,145.0,3
565,"Đã nhận sổ, căn 75m² có nội thất, giá 1.78 tỷ",1780000000,Nhà Bè,75.0,2
566,Chính chủ bán gấp căn hộ cao cấp Westgate 2pn 2wc,2087000000,Bình Chánh,59.0,2
567,Bán Chung cư Jamila Khang Điền 72.17m² 2PN,2850000000,9,72.17,2
568,CẬP NHẬT 9 VIEW  2PN-2WC 1.4TỈ VIEW CÔNG VIÊN,1400000000,9,58.0,2
569,Chung cư Vinhomes Grand Park (Vincity Quận 9) 59m²,1912000000,9,59.0,2
570,"BÁN CĂN HỘ 2 PHÒNG NGỦ - ĐẦY ĐỦ NỘI THẤT 3,9 TỶ",3900000000,2,73.0,2
571,"Topaz Mùa dịch, Bán Gấp Giá Cực tốt. Đã nhận nhà",2580000000,8,92.0,3
572,Bán giá gốc căn hộ cao cấp mặt tiền Q1,1420000000,1,73.87,2
573,CHÍNH CHỦ 9VIEW 3PN-2WC CHỈ 1.9TỈ LS VAY HẤP DẪN Ạ,1900000000,9,86.0,3
574,TẶNG NỘI THẤT 200TR+2 NĂM PHÍ QL KHI MUA PRECIA Q2,3280000000,2,101.0,3
575,"MÙA DỊCH, CĂN HỘ SỨC KHỎE LÊN NGÔI ☀️",2500000000,12,57.0,2
576,"TECCO: đã có sổ block 1: 58-65m2-2PN giá từ 1,5 tỷ",1500000000,12,65.0,2
577,Chung cư Đức Khải phường Phú Mỹ q7 block A1 lầu 30,2300000000,7,75.0,2
578,"Chung cư Thủ Đức, 50m2 giá 1,700 tỷ",1790000000,Thủ Đức,50.0,2
579,Bạn cần nhà ở ngay với giá 1 tỷ trung tâm Hóc Môn,1000000000,Hóc Môn,50.0,2
580,CHÍNH CHỦ BÁN CĂN VIEW DÔNG NAM TẠI LAVITA CHARM,2750000000,Thủ Đức,68.0,2
581,"căn 79m2 AK1 tầng 9 hướng BẮC Giá 2,9 tỷ (95%)",2900000000,Bình Tân,79.0,2
582,Tập đoàn Hưng Thịnh mở bán căn hộ mùa Covid 19,2250000000,Tân Phú,73.0,2
583,Cần bán gấp căn hộ Chương Dương Home full nội thất,1700000000,Thủ Đức,50.0,2
584,"Bán căn hộ Sky 9 quận 9 DT 74m 3PN 2WC, hỗ trợ vay",2020000000,9,74.0,3
585,CHUYỂN NHƯỢNG CĂN HỘ 85M2 DIAMOND ALNATA PLUS,5066000000,Tân Phú,85.4,2
586,Căn hộ Chung cư Quận 9 Thành phố Thủ Đức 81m² 3PN,2900000000,9,81.0,3
587,"Căn hộ cao cấp quận 7, 54m² gồm 2 phòng ngủ.",1830000000,7,54.0,2
588,"Chung Cư DT:153m, 4pn, Full nội thất, giá chỉ 3ty8",3750000000,2,153.0,4
589,Căn hộ 3pn 115m2 có sổ đỏ ngay Q7 chỉ 23tr/m2,2650000000,7,115.0,3
591,Prosper nhà trống đã có sổ,2050000000,12,65.0,2
592,"MUA CH KV 9VIEW TỪ CHỈ TỪ 1.4 TỶ, AN NINH TỐT.",1400000000,9,58.0,2
593,"CĂN HỘ CENTANA 2PN, 2WC, NỘI THẤT CƠ BẢN, 64m2",2900000000,2,64.0,2
594,"CHÍNH CHỦ BÁN KV 9VIEW BAO PHÍ, CÓ NTCB, NHÀ MỚI.",2000000000,9,87.0,3
595,CH lk Ngã Tư 550 Vô Ở Liền-Căn 2PN Chỉ 1.3Tỷ,1100000000,Thủ Đức,61.0,2
596,CH Newcity Thủ Thiêm Block Hawaii 2PN 2NVS,3950000000,2,60.0,2
597,"Bán căn hộ dọn vào ở ngay Q7 Boulevard, 2PN, 2,2tỷ",2253000000,7,57.0,2
598,Chính chủ bán chung cư Q2 - 2pn giá chỉ 1 ti 800,1800000000,2,61.0,2
599,"CĂN HỘ CENTANA 1PN, 45m2, LỰA CHỌN SỐNG HOÀN HẢO",1950000000,2,45.0,1
600,TT 599tr sở hữu CH 2PN 2PVS -full nội thất cao cấp,599000000,Bình Chánh,60.0,2
601,"Căn hộ Bcons QL1K, 490tr sở hữu, hỗ trợ LS 0%",490000000,Thủ Đức,52.0,2
602,Cần bán hoặc cho thuê chung cư saigon land,3100000000,Bình Thạnh,68.0,2
603,Căn góc 85m2 tầng 18 Chung Cư Linh Tây Tower,2320000000,Thủ Đức,85.0,2
604,TECCO GREEN NEST-CHỈ TT 500TR - BANK CHO VAY 70%,1550000000,12,58.0,2
605,"Bán gấp Căn Hộ Q2 59m2 tháng 6 bàn giao nhà,1.9 tỷ",1800000000,2,56.0,2
606,85m2 Tháp A8 mặt tiền đại lộ Diamond alnata plus,5210000000,Tân Phú,85.0,2
607,Chung cư Lovera Vista 72m² 2PN,2249000000,Bình Chánh,72.0,2
608,Căn hộ 3pn Richstar full đẹp y hình HĐMB,4200000000,Tân Phú,92.0,3
609,CĐT Bán Căn Hộ Carillon 7_DT:88m²_3PN+2WC-Nhà HTCB,2950000000,Tân Phú,88.2,3
610,Metro star tầng trung 2pn 2wc 61m Hai.1 tỷ,2100000000,9,61.0,2
611,Bán căn hộ Quang thái 3pn2wc 90m2 đã có sổ hồng,2550000000,Tân Phú,90.0,3
612,MUA CĂN HỘ TẶNG GÓI LÃI SUẤT VAY NGÂN HÀNG 0%,2109643000000000,Bình Chánh,59.0,2
613,BUỔI CÔNG BỐ GIẤY PHÉP XÂY DỰNG WEST GATE-AN GIA,2279644000000000,Bình Chánh,59.0,2
614,9 View Apartment 58m² 2PN-2WC full NT chỉ 1.6tỉ,1600000000,9,58.0,2
615,"Căn Góc 2PN 2WC, 2.7ty, 71m2. Căn Hộ Khuông Việt",2700000000,Tân Phú,71.0,2
616,OT 1PN RIÊNG BIỆT CÓ BAN CÔNG FULL NHƯ HÌNH,2400000000,7,38.0,1
617,"Bán Căn 2PN 2WC Full NT, 2.85 tỷ. CHCC Richstar",2850000000,Tân Phú,65.0,2
618,"SHOPHOUSE TRUNG TÂM QUẬN 7, GIÁ CHỈ 36TR/M2",9550000000,7,265.0,1
619,Chung cư Homyland Riverside 75m2 2PN view sông Q2,3350000000,2,75.0,2
620,Chính chủ gửi căn hộ Akari City 100m2 3PN - 3.45Ty,3450000000,Bình Tân,100.11,3
621,Saigon Asiana Nguyễn Văn Luông Q6 ngay Chợ Lớn,2600000000,6,60.56,2
622,Hh 1% Bán Chung Cư 776/20B Nguyễn Kiệm P Nhuận,3500000000,Phú Nhuận,50.0,3
623,"Chính chủ căn 2PN MT Phạm Văn Đồng, dọn vào ở ngay",2500000000,Thủ Đức,75.0,2
624,"NGỘP LÃI THANH LÝ MIZUKI 78m²2PN,ban công cực mát",2650000000,Bình Chánh,78.0,2
625,Căn hộ cao cấp 56m2 giá tốt trung tâm Quận 8,1500000000,8,56.0,2
627,🥳🥳🥳Căn hộ Vinhomes GrandPark Q9:2PN;2PWC;T34,2600000000,9,62.0,2
628,"Bán gấp căn 80,43m2, chỉ 26 triệu/m2",2000000000,8,80.43,3
629,Cần bán gấp căn hộ Q7 Boulevard trả nợ mùa Covid,2530000000,7,57.21,2
630,"Picity High Park Q12, TT 30% sở hữu, CK 12%, LS 0%",2100000000,12,57.0,2
631,Shophouse 2 tầng Picity High Park Q12,6000000000,12,115.0,2
632,NGÂN HÀNG PHÁT MÃI CĂN 2PN 59M2 VINHOME Q9 GIÁ RẺ,2100000000,9,46.5,2
633,Giá Gốc F0 Căn Hộ Cao Cấp Thiết Kế Nhật Bản,1485000000,Thủ Đức,46.0,2
634,Cập Nhật Bảng Giá Căn Hộ VHCP 3PN Mới Nhất,6600000000,Bình Thạnh,95.0,3
635,Chủ Nhượng Gấp Căn 2PN2WC+ 29.2m2 VHGPN Quận 9,2500000000,9,69.2,2
636,Chủ Nhà Sang Lỗ 60TR Căn 1PN+ 46.5m2 VHGP Q.9,1750000000,9,46.5,1
637,"GIÁ GỐC CĐT SỞ HỮU CĂN HỘ TP. THỦ ĐỨC, CK TỚI 11%",720000000,Thủ Đức,76.0,2
638,"5 LÔ ĐẤT CẠNH ĐÔ THỊ VẠN PHÚC, GIÁP QUỐC LỘ 13",5250000000,Thủ Đức,104.0,1
639,Bảng Giá Căn Hộ VHCP 2PN Mới Nhất,5750000000,Bình Thạnh,89.0,2
640,Căn hộ Ngon - Bổ - Êm nhất khu Tây Sài Gòn,2100000000,Bình Chánh,59.0,2
641,Bán gấp căn hộ Lovera Vista đã bàn giao 65m2 2 PN,2250000000,Bình Chánh,65.0,2
642,Kẹt tiền cần bán 2PN view hồ bơi chênh thấp Dlusso,4040000000,2,68.0,2
643,chính chủ cần bán căn hộ,3600000000,Bình Thạnh,95.0,3
644,Chính Chủ Cần Bán Căn Hộ Q7 Boulevard 60m² 2PN,2500000000,7,60.0,2
645,Chính chủ bán căn 63.2m2 block B1 Green Town 2MT,1650000000,Bình Tân,63.2,2
646,"3PN Diamond Đầu Tư, Ôm hàng 2 năm đóng tối đa 30%",7200000000,Tân Phú,117.0,3
647,Ngộp Covid Mình Cần Bán Lại Căn 2PN và 3PN Centum,2111111000000000,9,70.0,2
648,"CENTUM WEALTH 3PN 2WC VIEW HỒ BƠI , GIÁ CHỈ TỪ 7TR",6000000,9,68.0,2
649,Cần tiền KD nên sang lại căn hộ 51m2 nhà mới,1500000000,8,51.0,1
650,BÁN NHANH 3PN EMERALD 104M2 NHÀ TRỐNG TẦNG ĐẸP,4450000000,Tân Phú,104.0,3
651,"Căn hộ Cao cấp 2PN đủ tiện ích TTHC Q12, giá tốt",1700000000,12,80.0,2
652,Chung cư Vinhomes Q9 - Thành phố Thủ Đức 59m² 2PN,2270000000,9,59.0,2
653,Cần Bán Gấp Căn Hộ Saigon Riverside Q7 52m² 2PN,1800000000,7,53.0,2
654,Căn hộ Flora Anh Đào 54m2 1PN hướng ĐN view LM 81,1710000000,9,54.0,1
655,Chung cư Thủ Đức 2PN,2400000000,Thủ Đức,74.0,2
656,BÁN GẤP CH HIM LAM PHÚ AN FULL NT DỌN VÀO Ở NGAY.,2600000000,9,70.0,2
657,CẦN BÁN CĂN HỘ THE SUN AVENUE Q2 1.750 TỶ 32M2,1750000000,2,32.0,1
658,Chung cư The MarQ 144m² giá ưu đãi tặng xe sang,2597535000000000,1,144.0,4
659,Chung cư Mở bán 200 căn Legarcy Central 60m² 2PN,870000000,Tân Bình,60.0,2
660,"Chính chủ bán gấp 2PN2WC 66,57 VIEW ĐẸP",3500000000,7,66.0,2
661,Chung cư Dream Home Residence 60m² 2PN,2000000000,Gò Vấp,60.0,2
662,Sở hữu CH cao cấp Dream Home Quận 8 giá rẻ,1500000000,8,56.0,2
663,Officetel Lavita Charm 51m² 1 PN,1700000000,Thủ Đức,51.0,1
664,"Bán gấp CH 57m2 (Đã có sổ )Chung Cư Hưng Ngân,Q12.",1550000000,12,57.0,1
665,Cần mua nhà hoặc chung cư,2000000000,11,40.0,1
666,Chung cư Lavita Charm 51m² 1PN giá 1.6tỉ,1600000000,Thủ Đức,51.0,1
667,"Sky Garden 1, 2pn 2wc, có sân vườn, thiết kế đẹp",3300000000,7,83.7,2
668,Duplex Phú Hoàng Anh 220m² 4 PN nội thất cao cấp,4300000000,Nhà Bè,220.0,4
669,Căn hộ 750 Triệu giá tốt Uy tín- Chất lượng,750000000,12,65.0,2
670,Bán căn hộ Saigon South 71m2 2PN nội thất cao cấp,3500000000,Nhà Bè,71.0,2
671,Kẹt tiền bán gấp căn hộ Prosper Plaza quận12,2200000000,12,65.0,2
672,Chung cư 64m2 đầy đủ nội thất,1850000000,12,64.0,2
673,Chung cư Kingston Residence 70m² 2PN,5100000000,Phú Nhuận,70.0,2
674,Bán gấp 3pn 94m2 - 4.5 tỷ  Lương Định Của quận 2,4500000000,2,94.0,3
675,"Bán, cho thuê căn hộ Võ Đình",1400000000,12,50.0,1
676,Chung cư Novaland Phú Nhuận Garden Gate 85m² 3 PN,5050000000,Phú Nhuận,85.0,3
677,Căn Hộ & ShopHouse Trung Tâm Hành Chính Bình Chánh,750000000,Bình Chánh,60.0,2
678,Sang lỗ căn 2PN 59.4m2 tại Vinhomes Quận 9 ở ngay,2010000000,9,59.4,2
679,Chung cư Quận 8 54.4m² 2PN,266854000000000,8,54.4,2
680,"Bán căn hộ Richstar 63 m2 (2Pn-2WC), 2,68 tỉ",2680000000,Tân Phú,63.0,2
681,Penthouse Feliz En Vista 407m² 6 PN,46000000000,2,407.0,6
682,"MOONLIGHT RESIDENCES THỦ ĐỨC, 89M2 -3PN-FULL NT",3750000000,Thủ Đức,89.0,3
683,"Bán căn hộ Osimi Tower 75m² 3PN, 2WC full nt",2700000000,Gò Vấp,75.0,3
684,WestGate Bình Chánh59m2 -thanh toán chỉ 30% 599tr,600000000,Bình Chánh,60.0,2
685,QUA HÀN QUỐC ĐỊNH CƯ CẦN BÁN CĂN HỘ,2900000000,9,68.0,2
686,"Bán gấp CH Phú Gia SHR giá 1,780 tỷ bao hết -Có NT",1780000000,Nhà Bè,75.0,2
687,Căn hộ Vinhomes 2PN+ 69m2 Cắt Lỗ,2900000000,9,69.0,2
688,Chung cư cao cấp 2pn Dlusso Quận2,3980000000,2,68.0,2
689,"Căn hộ cao cấp Skyline, PMH, Q7, đã có sổ, 2.4 tỷ",2400000000,7,66.0,2
690,Bán căn hộ ngay KDL Bến Xưa chỉ còn 20 căn giá gốc,800000000,Gò Vấp,67.0,2
691,CĂN HỘ 2PN 90m2 MẶT TIỀN LÝ THƯỜNG KIỆT,2350000000,11,90.0,2
692,CHÍNH CHỦ căn hộ Vinhome Central Park 3PN,7000000000,Bình Thạnh,94.7,3
693,Với 700Triệu Sở Hữu Ngay Căn Hộ Resort Chuẩn 5 Sao,2300000000,12,58.0,2
694,"Bán 2PN 2WC 2.15 tỷ, Sổ Hồng. CH: Fortuna Vườn Lài",2150000000,Tân Phú,80.0,2
695,"Bán gấp CH 2PN giá 3.8 tỉ bao phí, full nội thất",3800000000,2,56.6,2
696,"Chính chủ cần nhà ở liền nên bán gấp, rẻ hơn CĐT",1457568000000000,8,62.0,2
697,Bán căn 2PN đã Có sổ hồng Ngân Hàng Hỗ Trợ vay 80%,1600000000,12,58.0,2
698,Căn Hộ Mới Bàn Giao Dọn Vào Ở Ngay Ko Lo Về Giá,225000000,Nhà Bè,68.0,2
699,Giỏ hàng sang nhượng Q7 Boulervard giá cực tốt,2350000000,7,70.0,2
700,Căn hộ đã có sổ hồng riêng Quận 12,1670000000,12,58.0,2
701,Căn hộ vào ở ngay giữa Thủ Thiêm tặng nội thất,3300000000,2,60.0,2
702,Chung cư masteri lumière riverside 73m² 2 PN,1740000000,2,73.2,2
703,Chung cư Green Town Bình Tân 91.7m² 3PN giá 2ty3,2300000000,Bình Tân,91.74,3
704,Cần bán Gấp Căn hộ văn phòng_OFFICETEL Q7Boulevard,1400000000,7,35.0,1
705,Bán GẤP căn 3Pn2Wc ngộp tầng đẹp,3240000000,9,81.0,3
706,Bán căn góc 73m2 view hồ bơi giá 3ty310 giá chốt,3310000000,6,73.0,2
707,"Bán Căn Alnata 2PN View công viên,hướng TN,lau 8",4300000000,Tân Phú,88.0,2
708,GỬI BÁN CĂN HỘ MASTERI TĐ 2PN 70M2 VIEW SÔNG,4700000000,2,70.0,2
709,Sang lỗ căn 33.8m2 VHGP TT 474tr nhận nhà ngay,1240000000,9,33.0,1
710,Chung cư Quận 12 81m² 3PN cao cấp 5*,2439000000,12,81.0,3
711,Căn hộ Cao cấp giá rẻ ngay Trung tâm Quận 3,1100000000,2,20.0,1
712,Bán Chung cư Sunrise CityView 76m² 2 PN,3700000000,7,76.0,2
713,Chung cư Saigon Riverside Complex Q7 66m² 2 PN,235000000,7,66.66,2
714,"Bán CH Saigon Riverside Complex Q7 66.6m²  2,35 tỷ",2350000000,7,66.6,2
715,Can hộ 2pn 68m2 view pháo hoa đẹp q7,225000000,7,62.9,2
716,Căn hộ 2PN 75m2 LavidaPlus Q7 đối diện SCViVo City,2850000000,7,75.0,2
717,BÁN GẤP NHIỀU CĂN HỘ CAO CẤP SUNRISE CITYVIEW LH :,1750000000,7,58.0,1
718,"Bán Chung cư Tây Thạnh 59m² 2PN, Q Tphu",1625000000,Tân Phú,59.0,2
719,Căn Hộ saigon royal- 82m2- View thoáng,5600000000,4,82.0,2
720,"Bán Officetel 35m2 The Sun Avenue, Quận 2.",1800000000,2,35.0,1
721,"Bán CH 3PN 103m2 Kingdom101, Q10 giá 7.78 tỷ",7800000000,10,103.0,3
722,Căn 95 m2 (3pn 2wc).,3050000000,8,95.0,3
723,"Bán gấp ch era town 67m2/1,520 tỷ có tặng nội thất",1520000000,7,67.0,2
724,Mở bán giai đoạn 2-Celesta Heights- Nguyễn Hữu Thọ,52000000,Nhà Bè,50.0,1
725,Chung cư Celadon City 55m² 2PN,2170000000,Tân Phú,55.0,2
726,"CHÍNH CHỦ - BÁN CHUNG CƯ 82.7M2 GIÁ 1,975 TỶ",1975000000,Tân Phú,82.7,2
727,3PN VIEW TRỌN SÔNG SG THE SUN AVENUE CĂN GÓC 5.2 Y,5200000000,2,95.0,3
728,BÁN GẤP 2PN VIEW SÔNG MASTERI THẢO ĐIỀN 4TY5,4500000000,2,70.0,2
729,"Căn hộ mini Hà Huy Giáp mới xây sạch sẽ , an ninh",290000000,12,25.0,1
730,"Bán gấp ch era town 3pn view sông, tt 50% nhận nhà",2000000000,7,97.0,3
731,"Penthouse SkyVilla 270.04m² 3PN, Thủ Đức",1087000000,Thủ Đức,270.04,3
732,CẦN BÁN 2PN 3.9 TỶ FULL NT THE SUN AVENUE Q2 HCM,3900000000,2,75.0,2
733,"Tôi cần tiền trả lãi bank, bán rẻ nhanh chóng",1735000000,Thủ Đức,62.0,2
734,Căn hộ mới bàn giao ngay Phú Mỹ Hưng giá 2ty2 -2PN,2200000000,7,62.0,2
735,"căn hộ full nội thất, giá chỉ 1.5 tỷ tại HCM",1500000000,Bình Chánh,50.0,2
736,Cần bán căn Block B Dragon 1- Topaz Elite q8-hcm,2800000000,8,73.0,2
737,Cần bán nhanh căn hộ Oriental 3pn 3wc q.tân phú,3500000000,Tân Phú,106.0,3
738,🌟Căn GÓC 2PN Kingston đầy đủ nội thất. View mát,5300000000,Phú Nhuận,78.0,2
739,Bảng giá căn hộ và Offictel Central Premium T7,3218000000,8,68.0,2
740,9VIEW 2PN-2WC FULL NT NHÀ MỚI CHƯA Ở 100% CHỈ 2TỈ,1400000000,9,58.0,2
741,Căn hộ ngay Phú Mỹ Hưng 2PN-2WC giá 2tỷ35 mới 100%,2350000000,7,64.0,2
742,BÁN GẤP CH 3PN VIEW SÔNG  MASTERI TĐ GIÁ 6TY750,6750000000,2,100.0,3
743,Căn hộ 3PN NOTM Topaz Home quận 9,1800000000,9,65.0,3
744,Bán nhanh vội vàng _ Richstar novaland _ 3 phòng .,3900000000,Tân Phú,90.0,3
745,"westgate pháp lý hoàn chỉnh, thanh toán 660TR 2PN",2100000000,Bình Chánh,59.0,2
746,"Chung cư 2PN 48m2 Pi City, Quận 12",1899000000,12,48.0,1
747,Giỏ hàng những căn đẹp giá tốt dự án Ricca Q9,2250000000,9,67.7,2
748,1.8 TỶ SỞ HỮU NHÀ ĐẸP PRECIA TẶNG KHỦNG 250 TRIỆU,1800000000,2,101.0,3
749,Chung cư Melody Residences 105m² 2PN Tiện KD,4650000000,Tân Phú,105.0,2
750,An Sương I-Park Quận 12 Chuẩn căn hộ xanh,2635000000,12,80.0,3
751,"Bán căn hộ Ruby Garden 87m2 2PN,Có Sổ Hồng,Full NT",2950000000,Tân Bình,87.0,2
752,Cần bán căn 2pn 1wc 59m2 giá 2 tỷ 080 triệu full,2080000000,9,59.0,2
753,Chung cư Lavita Garden 68m² 2PN=2WC GIÁ CHỈ 2.4TỈ,2300000000,Thủ Đức,68.0,2
754,"CTL TOWER,NHIỀU CĂN VỊ TRÍ ĐẸP, TẦNG CAO VÀ TRUNG",1800000000,12,60.0,2
755,Chung cư Central Premium 70m² 2 PN,3600000000,8,70.0,2
756,Căn Hộ Lavita Charm 67.3m²  - Trung Tâm Tp Thủ Đức,3000000000,Thủ Đức,67.3,2
757,"SỞ HỮU NGAY CH THE ART GIÁ CỰC RẺ, FULL NT ĐẸP.",24000000,9,66.0,2
758,"Chính chủ cần bán căn hộ cao cấp Sky 89, PN 1+1",2700000000,7,50.0,1
759,"NHÀ ĐẸP, GIÁ TỐT CHỈ CÓ TẠI ĐÂY.",2500000000,12,79.0,3
760,"Thanh toán nợ  2PN,2WC đối diện UBND, liền kề Q7",66000000000,Bình Chánh,59.0,2
761,"Căn 2pn 2wc mới 100% 1,85 tỷ; 3pn có NT 2,08 tỷ",1300000000,12,53.0,2
762,"Căn hộ 5* Terra Royal, căn góc lầu 21, 58m2",5100000000,2,58.0,2
763,"Căn hộ 2PN sổ hồng-nhà đẹp giá chỉ từ 1,68 tỷ",1700000000,12,65.0,2
764,"GIÁ HÓT!💎 Depot Metro, căn 1pn|1.5Tỷ, 2pn|1.85Tỷ",1520000000,12,56.0,2
765,"Chung cư cityland nguyễn văn lượng 115m2 giá 5,4ty",5400000000,Gò Vấp,115.0,3
766,"Topaz home, căn TM & XH, 2pn và 3pn giá tốt",1600000000,12,69.0,2
767,Chung cư Melody Residences 68.8m² 2PN Tặng NT,2760000000,Tân Phú,68.0,2
768,Căn 1pn 51.7m2 Lumiere Đợt 1 Giá COVID Lỗ 100tr,4948000000,2,51.7,1
769,Bán căn hộ cao cấp MT Nguyễn Văn Hưởng P.Thảo Điền,7000000000,2,61.36,1
770,8x Plus_63m2 2PN 2WC_View Q.1 thoáng mát,1700000000,12,63.0,2
771,"Giá bán Full 44,6 triệu/m2, căn 80m2, 3 view kênh",3562000000,Bình Chánh,80.0,2
772,em nắm giỏ hàng pegasuite2 giá rất tốt dự án,947000000,8,25.0,1
773,Chung cư Richstar 65m rẻ hơn thị trường 150tr.,2900000000,Tân Phú,65.0,2
774,"Tôi cần bán căn hộ cao cấp resgreen tower ,62m2",3180000000,Tân Phú,62.0,2
775,"Centery Mua Giá Sỉ, Vị Trí Đẹp, Để Lại Chênh Thấp",8092000000,Tân Phú,121.0,3
776,Cần bán hoặc cho thuê Chung cư Ehome 1 mùa COVID,1870000000,9,60.0,2
777,Chung cư La Astoria 60m² 2 PN,2180000000,2,60.0,2
778,Bán gấp căn hộ tại trung tâm Quận 8 giá tốt,1500000000,8,56.0,2
779,107m2 (3PN) Diamond Alnata - View Đông Nam 5ty360,5360000000,Tân Phú,107.0,3
780,Căn Hộ 2PN Quận 6 Mặt Tiền Lý Chiêu Hoàng,1830000000,6,51.0,2
781,Căn hộ 2PN 77m2 Urban Hill quận 7,5200000000,7,77.0,2
782,Penhouse Vinhomes Central Park 6A 154.4m² 4PN,17479000000000,Bình Thạnh,154.0,4
783,Căn hộ 2pn 68m2 Q7,2253000000,7,66.0,2
784,CHÍNH CHỦ BÁN NHÀ,1200000000,Bình Chánh,67.2,3
785,Bán Saigon South Residences 100.35m² giá 3.75 tỷ,3750000000,Nhà Bè,100.35,3
786,CÒN 1 căn duy nhất 2pn 1wc GIÁ 2 tỷ 4 rẻ nhât TT,2400000000,Tân Phú,66.0,2
787,"Bán xổ bán lỗ cc Carillon 7 2pn 66m view đông 2,48",2480000000,Tân Phú,66.0,2
788,"Căn 75m² ĐÃ CÓ SỔ, có nội thất, giá 1.820 tỷ (TL)",1820000000,Nhà Bè,75.0,2
789,Sunrise CityView 105m² 3 PN,4850000000,7,105.0,3
790,Bán gấp 2pn có sổ dự án celadon city giá 2.6 tỷ,2600000000,Tân Phú,69.0,2
791,Officetel Sunrise CityView 65m² 2 PN,3500000000,7,65.0,2
792,chung cư Tân phước 78m² 2 PN đẹp sạch thoáng 3.7ty,3700000000,11,78.0,2
793,Chung cư Quận 7 114m² 3PN,3400000000,7,114.0,3
794,Chung cư căn góc CITY LAND Quận 7 92m² 2PN,4300000000,7,92.0,2
795,MUA BÁN CHÍNH CHỦ-BÁN CĂN HỘ 3 PHÒNG NGỦ VIEW SÔNG,11000000000,2,124.0,3
796,Căn hộ 114m2 view ôm trọn Quận 1,6000000000,7,114.0,3
797,Chung cư Vinhomes Central Park 188m² 4PN,18000000000,Bình Thạnh,188.0,4
798,Chung cư Quận 7 105m² 3 PN full NT nhà đẹp,4900000000,7,105.0,3
